"","stockid","MSYbest","areaid","stocklong","region"
"1","ACADRED2J3K",3000,"Canada-DFO-2J3K","Acadian redfish NAFO-2J3K","Canada East Coast"
"2","ACADRED3LNO-UT12",116000,"Canada-DFO-3LNO-UT12","Acadian redfish Units 1-2 and NAFO-3LNO","Canada East Coast"
"3","ACADREDGOMGB",10466,"USA-NMFS-5YZ","Acadian redfish Gulf of Maine / Georges Bank","US East Coast"
"4","ACADREDUT3",131000,"Canada-DFO-UT3","Acadian redfish Unit 3","Canada East Coast"
"5","ACMACKSARG",NA,"Argentina-CFP-ARG-S","Argentine chub mackerel Southern Argentina","South America"
"6","ALBAIO",38800,"multinational-IOTC-IO","Albacore tuna Indian Ocean","Indian Ocean"
"7","ALBAMED",28900,"multinational-ICCAT-MED","Albacore tuna Mediterranean","Mediterranean-Black Sea"
"8","ALBANATL",36650,"multinational-ICCAT-NATL","Albacore tuna North Atlantic","Atlantic Ocean"
"9","ALBANPAC",105571,"multinational-ISC-NPAC","Albacore tuna North Pacific","Pacific Ocean"
"10","ALBASATL",25147.5,"multinational-ICCAT-SATL","Albacore tuna South Atlantic","Atlantic Ocean"
"11","ALBASPAC",76800,"multinational-WCPFC-SPAC","Albacore tuna South Pacific Ocean","Pacific Ocean"
"12","ALPLAICBSAI",NA,"USA-NMFS-BSAI","Alaska plaice Bering Sea and Aleutian Islands","US Alaska"
"13","ALSKABSAI",NA,"USA-NMFS-BSAI","Alaska skate Bering Sea and Aleutian Islands","US Alaska"
"14","AMPL3LNO",NA,"multinational-NAFO-3LNO","American Plaice NAFO-3LNO","Canada East Coast"
"15","AMPL3M",NA,"multinational-NAFO-3M","American Plaice NAFO-3M","Canada East Coast"
"16","AMPL4T",NA,"Canada-DFO-4T","American plaice Southern Gulf of St. Lawrence","Canada East Coast"
"17","AMPL4VWX",5113,"Canada-DFO-4VWX","American plaice Scotian Shelf and Bay of Fundy","Canada East Coast"
"18","AMPL5YZ",2675,"USA-NMFS-5YZ","American Plaice NAFO-5YZ","US East Coast"
"19","ANCHIXa",NA,"multinational-ICES-IXa","Anchovy Portugese Waters -East","European Union"
"20","ANCHMEDGSA1",NA,"multinational-GFCM-GSA1","Anchovy Northern Alboran Sea","Mediterranean-Black Sea"
"21","ANCHMEDGSA16",2359,"multinational-GFCM-GSA16","Anchovy South of Sicily","Mediterranean-Black Sea"
"22","ANCHMEDGSA17-18",NA,"multinational-GFCM-GSA17-18","Anchovy Adriatic Sea","Mediterranean-Black Sea"
"23","ANCHMEDGSA29",NA,"multinational-GFCM-GSA29","Anchovy Black Sea","Mediterranean-Black Sea"
"24","ANCHMEDGSA6",NA,"multinational-GFCM-GSA6","Anchovy Northern Spain","Mediterranean-Black Sea"
"25","ANCHMEDGSA9",NA,"multinational-GFCM-GSA9","Anchovy Ligurian and North Tyrrhenian Sea","Mediterranean-Black Sea"
"26","ANCHOBAYB",NA,"multinational-ICES-VIII","Anchovy ICES VIII","European Union"
"27","ANCHOSA",NA,"South Africa-DETMCM-SA","Anchovy South Africa","South Africa"
"28","ANCHOVYKILKACS",44652,"Iran-Iran-CS","Anchovy kilka Caspian Sea","Other"
"29","ANGLMEDGSA15-16",NA,"multinational-GFCM-GSA15-16","Black Bellied Angler Malta Island and South of Sicily","Mediterranean-Black Sea"
"30","ANGLMEDGSA5",NA,"multinational-GFCM-GSA5","Black bellied angler Balearic Island","Mediterranean-Black Sea"
"31","ANGLMEDGSA6",NA,"multinational-GFCM-GSA6","Black bellied angler Northern Spain","Mediterranean-Black Sea"
"32","ANGLMEDGSA7",NA,"multinational-GFCM-GSA7","Black bellied angler Gulf of Lions","Mediterranean-Black Sea"
"33","APOLLNEMS",NA,"Japan-FAJ-NEMS","Walleye pollock Nemuro Strait","Russia Japan"
"34","APOLLNSJ",45206.50965,"Japan-FAJ-NSJ","Walleye pollock Sea of Japan North","Russia Japan"
"35","APOLLOKS",NA,"Japan-FAJ-OKS","Walleye pollock Okhotsk Sea","Russia Japan"
"36","APOLLPJPN",176347.6986,"Japan-FAJ-PJPN","Walleye pollock Pacific Coast of Japan","Russia Japan"
"37","ARCSURFGB",NA,"Canada-DFO-3LNO","Arctic surfclam Grand Bank","Canada East Coast"
"38","ARFLOUNDBSAI",NA,"USA-NMFS-BSAI","Arrowtooth flounder Bering Sea and Aleutian Islands","US Alaska"
"39","ARFLOUNDGA",254271,"USA-NMFS-GA","Arrowtooth flounder Gulf of Alaska","US Alaska"
"40","ARFLOUNDPCOAST",5844,"USA-NMFS-PCOAST","Arrowtooth flounder Pacific Coast","US West Coast"
"41","ARGANCHONARG",222163,"Argentina-CFP-ARG-N","Argentine anchoita Northern Argentina","South America"
"42","ARGANCHOSARG",454000,"Argentina-CFP-ARG-S","Argentine anchoita Southern Argentina","South America"
"43","ARGHAKENARG",NA,"Argentina-CFP-ARG-N","Argentine hake Northern Argentina","South America"
"44","ARGHAKESARG",NA,"Argentina-CFP-ARG-S","Argentine hake Southern Argentina","South America"
"45","ATBTUNAEATL",40252.1,"multinational-ICCAT-EATL","Bluefin tuna Eastern Atlantic","Atlantic Ocean"
"46","ATBTUNAWATL",5233.41,"multinational-ICCAT-WATL","Bluefin tuna Western Atlantic","Atlantic Ocean"
"47","ATHAL3NOPs4VWX5Zc",NA,"Canada-DFO-3NOPs4VWX5Zc","Atlantic halibut Scotian Shelf and Southern Grand Banks","Canada East Coast"
"48","ATHAL5YZ",3500,"USA-NMFS-5YZ","Atlantic Halibut NAFO-5YZ","US East Coast"
"49","ATKABSAI",NA,"USA-NMFS-BSAI","Atka mackerel Bering Sea and Aleutian Islands","US Alaska"
"50","ATLCROAKMATLC",NA,"USA-NMFS-MATLC","Atlantic croaker Mid-Atlantic Coast","US East Coast"
"51","ATOOTHFISHRS",3105.3982,"multinational-CCAMLR-RS","Antarctic toothfish Ross Sea","Antarctic"
"52","AUROCKPCOAST",72,"USA-NMFS-PCOAST","Aurora rockfish Pacific Coast","US West Coast"
"53","AUSSALMONNZ",3371.82,"New Zealand-MFish-NZ","Australian salmon New Zealand","New Zealand"
"54","AWOLF5YZ",244,"USA-NMFS-5YZ","Atlantic wolffish Gulf of Maine / Georges Bank","US East Coast"
"55","BCRABCHESB",NA,"USA-MDSTATE-CHESB","Blue Crab Chesapeake Bay","US East Coast"
"56","BGRDRNSWWA",4491.953438,"Australia-AFMA-NSWWA","Blue grenadier New South Wales to Western Australia","Australia"
"57","BGROCKPCOAST",222,"USA-NMFS-PCOAST","Blackgill rockfish  Pacific Coast","US West Coast"
